,index,timestamp,address,sens1,sens2,sens3,sens4
14589,25989,17.187000036239624, John/eeg, 959.377289377, 854.212454212, 858.241758242, 892.087912088
14591,25991,17.187000036239624, John/eeg, 966.63003663, 851.794871795, 855.421245421, 913.443223443
14593,25993,17.187999963760376, John/eeg, 999.67032967, 849.78021978, 857.032967033, 910.21978022
14607,26007,17.223999977111816, John/eeg, 996.84981685, 858.644688645, 857.838827839, 902.967032967
14609,26009,17.223999977111816, John/eeg, 971.062271062, 863.47985348, 857.435897436, 896.52014652
14611,26011,17.223999977111816, John/eeg, 972.271062271, 869.523809524, 862.271062271, 896.52014652
14613,26013,17.223999977111816, John/eeg, 1012.16117216, 868.315018315, 871.135531136, 904.175824176
14615,26015,17.22499990463257, John/eeg, 1007.32600733, 866.703296703, 870.732600733, 908.608058608
14617,26017,17.22499990463257, John/eeg, 971.868131868, 863.882783883, 868.717948718, 906.19047619
14619,26019,17.22499990463257, John/eeg, 987.985347985, 861.062271062, 872.747252747, 901.758241758
14621,26021,17.22499990463257, John/eeg, 987.985347985, 855.421245421, 874.761904762, 901.758241758
14623,26023,17.22599983215332, John/eeg, 967.435897436, 848.571428571, 872.344322344, 916.263736264
14625,26025,17.22599983215332, John/eeg, 944.065934066, 845.750915751, 873.553113553, 920.293040293
14627,26027,17.22599983215332, John/eeg, 936.813186813, 850.586080586, 875.164835165, 900.952380952
14629,26029,17.22699999809265, John/eeg, 963.406593407, 856.63003663, 871.941391941, 901.758241758
14637,26037,17.28600001335144, John/eeg, 969.853479853, 855.824175824, 869.523809524, 904.981684982
14639,26039,17.28600001335144, John/eeg, 982.344322344, 858.644688645, 867.912087912, 895.714285714
14641,26041,17.28600001335144, John/eeg, 1012.16117216, 863.47985348, 869.120879121, 880.805860806
14643,26043,17.28600001335144, John/eeg, 996.043956044, 859.450549451, 869.523809524, 888.864468864
14645,26045,17.286999940872192, John/eeg, 978.717948718, 854.615384615, 863.076923077, 888.864468864
14647,26047,17.286999940872192, John/eeg, 1018.20512821, 855.421245421, 853.406593407, 880.0
14649,26049,17.286999940872192, John/eeg, 1021.02564103, 855.824175824, 856.227106227, 888.864468864
14651,26051,17.286999940872192, John/eeg, 966.227106227, 853.406593407, 872.344322344, 884.835164835
